iter	Passed	Remaining
673	1479	715
674	1481	713
675	1483	710
676	1484	708
677	1487	706
678	1488	703
679	1490	701
680	1491	698
681	1493	696
682	1495	693
683	1496	691
684	1498	689
685	1501	687
686	1503	684
687	1505	682
688	1506	680
689	1508	677
690	1510	675
691	1511	672
692	1513	670
693	1515	668
694	1517	665
695	1519	663
696	1521	661
697	1523	658
698	1524	656
699	1526	654
700	1528	651
701	1529	649
702	1532	647
703	1533	644
704	1535	642
705	1537	640
706	1539	637
707	1541	635
708	1542	633
709	1544	630
710	1547	629
711	1549	626
712	1551	624
713	1553	622
714	1554	619
715	1556	617
716	1558	614
717	1559	612
718	1562	610
719	1564	608
720	1567	606
721	1569	604
722	1571	601
723	1572	599
724	1573	597
725	1575	594
726	1577	592
727	1579	590
728	1581	587
729	1582	585
730	1584	583
731	1586	580
732	1587	578
733	1590	576
734	1592	574
735	1593	571
736	1595	569
737	1596	566
738	1599	564
739	1600	562
740	1602	560
741	1605	558
742	1612	557
743	1614	555
744	1616	553
745	1620	551
746	1622	549
747	1624	547
748	1626	544
749	1627	542
750	1629	540
751	1631	537
752	1632	535
753	1635	533
754	1637	531
755	1639	529
756	1641	526
757	1642	524
758	1644	522
759	1646	519
760	1648	517
761	1650	515
762	1652	513
763	1654	511
764	1656	508
765	1658	506
766	1660	504
767	1662	502
768	1665	500
769	1666	497
770	1668	495
771	1670	493
772	1672	491
773	1673	488
774	1675	486
775	1677	484
776	1680	482
777	1682	479
778	1684	477
779	1686	475
780	1687	473
781	1689	471
782	1691	468
783	1693	466
784	1695	464
785	1697	462
786	1698	459
787	1700	457
788	1703	455
789	1705	453
790	1706	450
791	1709	448
792	1711	446
793	1714	444
794	1716	442
795	1718	440
796	1720	438
797	1722	436
798	1725	433
799	1727	431
800	1728	429
801	1730	427
802	1732	425
803	1734	422
804	1736	420
805	1739	418
806	1741	416
807	1743	414
808	1746	412
809	1747	410
810	1749	407
811	1751	405
812	1754	403
813	1756	401
814	1757	399
815	1759	396
816	1761	394
817	1763	392
818	1764	390
819	1766	387
820	1770	385
821	1772	383
822	1774	381
823	1776	379
824	1778	377
825	1780	375
826	1784	373
827	1786	371
828	1788	368
829	1790	366
830	1791	364
831	1793	362
832	1795	359
833	1797	357
834	1799	355
835	1801	353
836	1802	351
837	1805	348
838	1806	346
839	1808	344
840	1810	342
841	1813	340
842	1815	338
843	1816	335
844	1820	333
845	1822	331
846	1824	329
847	1826	327
848	1828	325
849	1830	323
850	1833	320
851	1835	318
852	1836	316
853	1838	314
854	1840	312
855	1843	310
856	1844	307
857	1846	305
858	1848	303
859	1850	301
860	1851	298
861	1853	296
862	1854	294
863	1857	292
864	1859	290
865	1860	287
866	1862	285
867	1863	283
868	1865	281
869	1866	278
870	1868	276
871	1870	274
872	1873	272
873	1874	270
874	1876	268
875	1877	265
876	1879	263
877	1881	261
878	1883	259
879	1884	257
880	1887	254
881	1888	252
882	1890	250
883	1892	248
884	1893	246
885	1895	243
886	1896	241
887	1898	239
888	1899	237
889	1902	235
890	1904	232
891	1905	230
892	1907	228
893	1909	226
894	1910	224
895	1912	221
896	1913	219
897	1915	217
898	1917	215
899	1919	213
900	1920	211
901	1922	208
902	1924	206
903	1925	204
904	1927	202
905	1928	200
906	1931	198
907	1933	195
908	1934	193
909	1936	191
910	1938	189
911	1939	187
912	1941	185
913	1943	182
914	1944	180
915	1946	178
916	1948	176
917	1950	174
918	1951	172
919	1953	169
920	1954	167
921	1956	165
922	1958	163
923	1959	161
924	1962	159
925	1963	156
926	1965	154
927	1966	152
928	1968	150
929	1970	148
930	1971	146
931	1973	143
932	1975	141
933	1979	139
934	1981	137
935	1984	135
936	1986	133
937	1990	131
938	1992	129
939	1993	127
940	1995	125
941	1996	122
942	1998	120
943	2000	118
944	2002	116
945	2003	114
946	2005	112
947	2007	110
948	2009	107
949	2010	105
950	2012	103
951	2013	101
952	2015	99
953	2017	97
954	2018	95
955	2021	93
956	2022	90
957	2024	88
958	2026	86
959	2028	84
960	2029	82
961	2031	80
962	2032	78
963	2034	75
964	2036	73
965	2038	71
966	2039	69
967	2041	67
968	2042	65
969	2044	63
970	2046	61
971	2048	59
972	2050	56
973	2052	54
974	2054	52
975	2055	50
976	2057	48
977	2059	46
978	2060	44
979	2062	42
980	2066	40
981	2067	37
982	2069	35
983	2070	33
984	2072	31
985	2074	29
986	2075	27
987	2077	25
988	2079	23
989	2081	21
990	2082	18
991	2084	16
992	2086	14
993	2087	12
994	2089	10
995	2091	8
996	2093	6
997	2095	4
998	2097	2
999	2099	0
